Marital status,Application mode,Application order,Gender,Age at enrollment,Course,Course Name,Daytime/evening attendance,Previous qualification,Previous qualification (grade out of 200),Nationality Name,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Student_Success
single,Over 23 years old,1,male,25.0,9130,Equinculture,daytime,Secondary education,120.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,150.0,no,no,no,yes,no,no,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,1,female,18.0,9070,Communication Design,daytime,Secondary education,132.0,Portuguese,Higher Education (Master's Degree),Technological specialization course,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,136.6,yes,no,no,yes,no,no,1,6,10,6,11.71428571,1,0,6,15,6,10.375,0,13.9,-0.3,0.79,Enrolled
single,Change of institution/course,1,female,19.0,9070,Communication Design,daytime,Secondary education,135.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",121.8,no,no,no,yes,yes,no,5,11,11,11,13.18181818,0,5,11,11,11,12.90909091,0,11.1,0.6,2.02,Graduate
married,Over 23 years old,1,male,49.0,9773,Journalism and Communication,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",162.0,no,no,yes,yes,yes,no,0,6,8,6,12.28571429,0,0,6,7,6,14.16666667,0,10.8,1.4,1.74,Graduate
single,Transfer,1,male,24.0,9003,Agronomy,daytime,Technological specialization course,120.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,Specialists in Intellectual and Scientific Activities,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",128.2,yes,no,no,yes,no,no,4,9,13,8,13.33333333,0,5,10,12,9,13.11111111,0,16.2,0.3,-0.92,Enrolled
single,2nd phase - general contingent,4,male,18.0,9147,Management,daytime,Secondary education,132.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",120.8,yes,no,no,yes,yes,no,0,5,8,4,10.8,0,0,5,10,2,12.5,0,11.1,0.6,2.02,Dropout
single,1st phase - special contingent,1,female,18.0,9070,Communication Design,daytime,Secondary education,145.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,146.1,yes,no,no,yes,no,no,0,6,6,1,15.0,0,0,6,7,4,12.5,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,5,female,19.0,9500,Nursing,daytime,Secondary education,125.0,Portuguese,Higher Education - Bachelor's Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,120.3,yes,no,no,yes,no,no,0,7,11,5,11.71666667,0,0,7,8,5,13.7,0,13.9,-0.3,0.79,Enrolled
single,Change of course,1,female,21.0,9500,Nursing,daytime,Secondary education,150.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130.8,yes,no,no,yes,yes,no,0,8,8,7,14.42857143,0,0,8,8,7,14.42857143,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,3,female,19.0,9238,Social Service,daytime,Secondary education,124.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,116.0,yes,no,yes,yes,no,no,0,6,7,0,0.0,0,0,5,5,0,0.0,0,13.9,-0.3,0.79,Dropout
single,1st phase - general contingent,1,male,19.0,9500,Nursing,daytime,Secondary education,124.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Installation and Machine Operators and Assembly Workers,117.5,yes,no,no,yes,no,no,0,8,10,5,12.858,3,0,8,10,5,12.858,3,9.4,-0.8,-3.12,Enrolled
divorced,Holders of other higher courses,1,male,51.0,9500,Nursing,daytime,Higher education - degree,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",140.0,no,no,no,yes,no,no,4,7,7,7,15.2,0,6,8,8,8,16.575,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,5,male,19.0,9254,Tourism,daytime,Secondary education,120.0,Portuguese,Higher Education - Bachelor's Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,114.8,yes,no,no,no,no,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout
single,Technological specialization diploma holders,1,male,21.0,171,Animation and Multimedia Design,daytime,Technological specialization course,160.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,160.0,yes,no,yes,yes,yes,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,Over 23 years old,2,female,29.0,8014,Social Service (evening attendance),evening,Secondary education,141.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,150.5,no,no,no,yes,no,no,0,6,7,6,13.16666667,0,0,6,8,6,15.625,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,1,female,20.0,9130,Equinculture,daytime,Secondary education,137.0,Portuguese,Higher Education - Bachelor's Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",136.3,yes,no,no,yes,no,no,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
married,Change of course,1,male,38.0,9991,Management (evening attendance),evening,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",122.7,no,no,no,yes,no,no,0,5,5,5,14.6,0,0,5,6,5,14.33333333,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,3,female,19.0,9085,Veterinary Nursing,daytime,Secondary education,130.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,121.3,yes,no,no,yes,yes,no,0,5,6,5,14.6,0,0,5,5,5,13.8,0,10.8,1.4,1.74,Graduate
single,3rd phase - general contingent,4,male,18.0,9119,Informatics Engineering,daytime,Secondary education,134.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",124.9,yes,no,yes,yes,no,no,0,5,11,3,10.66666667,0,0,5,9,3,11.33333333,0,8.9,1.4,3.51,Enrolled
single,2nd phase - general contingent,1,female,18.0,9130,Equinculture,daytime,Secondary education,143.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,131.8,yes,no,yes,no,no,no,0,6,9,5,12.4,0,0,6,12,5,14.16666667,0,8.9,1.4,3.51,Enrolled
single,2nd phase - general contingent,1,male,19.0,9003,Agronomy,daytime,Secondary education,126.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Higher Education - Bachelor's Degree,"Personal Services, Security and Safety Workers and Sellers",Specialists in Intellectual and Scientific Activities,116.9,no,no,no,yes,no,no,0,6,10,6,13.66666667,0,0,6,10,4,12.25,0,13.9,-0.3,0.79,Dropout
single,Over 23 years old,1,female,44.0,9003,Agronomy,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130.0,no,no,no,yes,no,no,0,6,10,1,12.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Dropout
divorced,Over 23 years old,1,female,37.0,8014,Social Service (evening attendance),evening,Secondary education,138.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Other Situation,127.0,no,no,no,no,no,no,0,4,4,0,0.0,0,0,5,10,0,0.0,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,1,female,21.0,9085,Veterinary Nursing,daytime,Secondary education,101.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,98.9,yes,no,no,yes,no,no,0,6,12,4,12.5,0,0,6,13,2,12.66666667,0,11.1,0.6,2.02,Enrolled
single,Over 23 years old,1,male,27.0,9147,Management,daytime,Secondary education,120.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",110.0,no,no,no,yes,no,no,0,5,13,3,10.75,0,0,5,9,3,10.33333333,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,1,female,20.0,9238,Social Service,daytime,Secondary education,136.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Intermediate Level Technicians and Professions,125.2,yes,no,no,yes,no,no,0,6,7,6,11.66666667,0,0,6,10,6,11.33333333,0,7.6,2.6,0.32,Graduate
single,2nd phase - general contingent,1,female,18.0,9853,Basic Education,daytime,Secondary education,138.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",124.7,yes,no,no,yes,no,no,0,6,11,3,12.33333333,0,0,6,10,5,10.83333333,0,9.4,-0.8,-3.12,Enrolled
single,Change of course,1,male,38.0,9070,Communication Design,daytime,Secondary education,160.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Higher Education - Bachelor's Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,100.0,no,no,no,yes,no,no,1,6,9,5,16.0,1,0,6,11,4,16.5,0,13.9,-0.3,0.79,Enrolled
single,1st phase - general contingent,4,female,19.0,9147,Management,daytime,Secondary education,126.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,120.1,yes,no,no,yes,no,no,0,5,7,5,12.4,0,0,5,5,5,14.6,0,8.9,1.4,3.51,Graduate
single,Over 23 years old,1,male,31.0,9003,Agronomy,daytime,Secondary education,133.1,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",110.0,yes,no,no,yes,no,no,0,6,8,0,0.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,Dropout
single,2nd phase - general contingent,1,female,18.0,9085,Veterinary Nursing,daytime,Secondary education,138.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,142.2,yes,no,no,yes,no,no,0,5,7,5,13.8,0,0,5,5,5,12.6,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,1,female,19.0,9085,Veterinary Nursing,daytime,Secondary education,148.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Higher Education - Bachelor's Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,136.5,no,no,no,yes,no,no,0,6,13,6,15.30769231,0,0,6,9,6,14.0,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,3,female,20.0,9773,Journalism and Communication,daytime,Secondary education,145.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",133.1,no,no,no,yes,yes,no,0,6,9,4,13.0,0,0,6,13,4,11.25,0,10.8,1.4,1.74,Graduate
single,2nd phase - general contingent,1,female,18.0,9238,Social Service,daytime,Secondary education,153.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",159.7,yes,no,no,yes,yes,no,0,6,7,6,15.14285714,0,0,6,6,6,15.83333333,0,12.7,3.7,-1.7,Graduate
single,2nd phase - general contingent,1,female,19.0,9130,Equinculture,daytime,Secondary education,123.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Higher Education - Bachelor's Degree,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,121.6,yes,no,yes,yes,yes,no,0,5,7,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,2,female,20.0,9147,Management,daytime,Secondary education,119.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",113.8,yes,no,no,yes,no,no,0,5,8,3,11.33333333,0,0,5,8,5,12.2,0,7.6,2.6,0.32,Graduate
married,Over 23 years old,1,female,32.0,8014,Social Service (evening attendance),evening,Secondary education,120.0,Portuguese,Unknown,Unknown,Unknown,Unknown,101.8,no,no,no,no,no,no,0,5,5,0,0.0,0,0,5,10,0,0.0,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,1,female,18.0,9238,Social Service,daytime,Secondary education,117.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",113.5,yes,no,no,yes,yes,no,0,6,6,6,13.16666667,0,0,6,7,6,14.14285714,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,3,female,21.0,171,Animation and Multimedia Design,daytime,Secondary education,115.0,Portuguese,Incomplete Education,Secondary Education - 12th Year of Schooling or Equivalent,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",108.7,yes,no,no,no,no,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,1,female,19.0,9147,Management,daytime,Secondary education,118.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,122.2,no,no,no,yes,no,no,0,5,11,3,10.66666667,0,0,5,9,4,10.25,0,11.1,0.6,2.02,Graduate
single,3rd phase - general contingent,1,female,19.0,9500,Nursing,daytime,Secondary education,144.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",127.5,yes,no,no,yes,yes,no,0,8,8,7,13.54285714,0,0,8,8,7,13.54285714,0,12.7,3.7,-1.7,Graduate
single,2nd phase - general contingent,4,female,18.0,9147,Management,daytime,Secondary education,121.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Skilled Workers in Industry, Construction and Craftsmen",113.0,yes,no,no,yes,yes,no,0,5,12,4,10.71428571,0,0,5,9,4,11.0,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,1,female,18.0,171,Animation and Multimedia Design,daytime,Secondary education,163.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Master's,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",175.6,yes,no,no,yes,no,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
single,Over 23 years old,1,female,25.0,9991,Management (evening attendance),evening,Higher education - degree,120.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",134.0,no,no,no,yes,no,no,0,5,14,1,11.0,0,0,5,11,2,12.66666667,4,16.2,0.3,-0.92,Dropout
single,Over 23 years old,1,male,36.0,9500,Nursing,daytime,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,108.5,no,no,no,yes,no,no,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout
single,2nd phase - general contingent,3,male,18.0,9119,Informatics Engineering,daytime,Secondary education,120.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,116.9,yes,no,yes,no,no,no,0,5,10,3,12.0,0,0,5,8,3,10.33333333,0,8.9,1.4,3.51,Enrolled
single,1st phase - general contingent,1,male,18.0,9119,Informatics Engineering,daytime,Secondary education,163.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,150.8,yes,no,no,yes,no,no,0,5,9,4,10.5,0,0,5,11,2,10.5,3,7.6,2.6,0.32,Enrolled
